"sch_id","x","y","stunted","underweight","stunting.z","stunting.p","wasting.z","wasting.p","stunt.hi","under.hi"
1001,39.5581,-4.28104,0.3148148,0.1428571,-0.908056142078166,0.363848560545366,0.884037558016122,0.37667593860081,0,0
1002,39.5701,-4.29619,0.2222222,0.16,-1.04630807407454,0.295418818844705,-1.10847935602492,0.267654849875308,0,0
1003,39.5652,-4.28258,0.1132075,0.1818182,-0.810336934379081,0.417746553247737,-1.37628459938214,0.168733539009962,0,0
1004,39.5751,-4.27662,0.1794872,0.1875,-1.10376929149581,0.269693229014711,-1.35195058071652,0.176391125095237,0,0
1005,39.5772,-4.26922,0.1632653,0.1666667,-1.10376929149581,0.269693229014711,-1.35195058071652,0.176391125095237,0,0
1006,39.5559,-4.29679,0.1320755,0.2608696,-1.14890978309801,0.250593183190529,-0.166093956903128,0.868083009795597,0,0
1007,39.5461,-4.31353,0.125,0.1666667,-1.90560790119711,0.0567010962511576,0.350712024229611,0.725804403834085,0,0
1008,39.5437,-4.29804,0.0925926,0.44,-1.90560790119711,0.0567010962511576,0.350712024229611,0.725804403834085,0,0
1009,39.5324,-4.2926,0.26,0.2777778,-0.783366216054074,0.433412089213885,2.27921996058663,0.0226539931263172,0,1
1010,39.5132,-4.34068,0.1176471,0.1538462,-0.900954367216025,0.36761258274921,-0.273431263231051,0.78452172350051,0,0
1011,39.5473,-4.28018,0.25,0.7058824,-1.10456512428049,0.26934807003007,1.53787866338779,0.124078285142672,0,0
1012,39.5245,-4.26286,0.1875,0.0588235,-0.31100586315525,0.755796164367127,0.88789350733413,0.374598037528107,0,0
1013,39.5192,-4.30974,0.3695652,0.6363636,-0.651264941689372,0.514875475240453,2.15583067743572,0.0310968890946747,0,1
1014,39.48159,-4.3237,0.2941177,0.1904762,0.337559035245642,0.735695516992312,0.207433795377356,0.835671091632495,0,0
1015,39.4964,-4.30706,0.1395349,0.2857143,0.958035864101013,0.338044674220481,1.5347370356161,0.124848434637962,0,0
1016,39.5356,-4.35371,0.16,0.2962963,-1.5774560323691,0.114690631283645,0.365032765950811,0.715086947690909,0,0
1017,39.5288,-4.36124,0.1111111,0.2,-1.54647628772729,0.121989582485745,-0.485538406414835,0.627294475897729,0,0
1018,39.5491,-4.35455,0.18,0.3,-1.5774560323691,0.114690631283645,0.365032765950811,0.715086947690909,0,0
1019,39.5344,-4.34228,0.2244898,0.3529412,-0.708444457199368,0.478669292756949,0.298667658690142,0.765193635935897,0,0
1020,39.5321,-4.37329,0.125,0.2380952,-2.07262329053689,0.038207351767392,-0.0541648442120318,0.95680382980277,-1,0
1021,39.4729,-4.37947,0.3111111,0.3333333,0.504193679069296,0.614125281823905,0.155289417521232,0.876593158007767,0,0
1022,39.5176,-4.3987,0.1956522,0.2,-1.71268738327091,0.0867700674801504,-1.18328126871312,0.236697693827327,0,0
1023,39.5149,-4.28283,0.2325581,0.25,0.284077977160873,0.77635062368991,0.634144009559818,0.525986843740411,0,0
1024,39.5063,-4.42402,0.2166667,0.0869565,0.533904769697264,0.593407421933029,-0.722279970222664,0.470122364939605,0,0
1025,39.5069,-4.35607,0.1836735,0.2857143,-0.255543932973536,0.798303016035709,-0.831679574321011,0.405589832911453,0,0
1026,39.5165,-4.3458,0.2857143,0.1818182,-0.900954367216025,0.36761258274921,-0.273431263231051,0.78452172350051,0,0
1027,39.4892,-4.36877,0.3541667,0.2,0.707339080502949,0.479355784845865,-0.176536483790567,0.859872488825974,0,0
1028,39.1839,-4.50892,0.2777778,0.1764706,1.60442080778215,0.10862132749248,3.04205076556175,0.00234972262414863,0,1
1029,39.1927,-4.47212,0.2083333,0.4545455,1.37695248690685,0.168526938062945,1.22595448307325,0.220215804200551,0,0
1030,39.1667,-4.49324,0.4883721,0.7222222,1.60442080778215,0.10862132749248,3.04205076556175,0.00234972262414863,0,1
1031,39.1321,-4.48348,0.2745098,0.25,0.95047470608674,0.341871100245451,1.82307838466528,0.0682915198616578,0,0
1032,39.2097,-4.48105,0.3125,0.0833333,0.956261042518674,0.338940366786108,-0.801870063822796,0.422628124481636,0,0
1033,39.1777,-4.56452,0.375,0.2,0.625799815266081,0.531446253030503,1.07482820743129,0.282451649123677,0,0
1034,39.154,-4.53644,0.1428571,0.4,0.714281091560287,0.47505338197001,0.936799895186462,0.348861499246145,0,0
1035,39.2134,-4.539,0.26,0.2142857,1.91944218222281,0.0549283968544487,-0.227750820103498,0.819839961749661,0,0
1036,39.1787,-4.52569,0.3404255,0.5294118,1.2785414670935,0.201058573378911,2.84295507877128,0.0044697369754305,0,1
1037,39.2068,-4.41478,0.375,0.5263158,0.401515323236045,0.688040758785894,-0.0638043524985988,0.949126012530364,0,0
1038,39.1818,-4.3979,0.1836735,0.1304348,0.144366769539309,0.885210855952637,0.143586881447333,0.885826700391276,0,0
1039,39.1935,-4.43758,0.2545455,0.25,0.524248764784487,0.600105527462782,1.11922710587354,0.263043264431674,0,0
1040,39.3149,-4.49923,0.28,0.25,-0.460033639817704,0.645492074679588,0.0709961899791705,0.943400787796899,0,0
1041,39.3836,-4.61764,0.25,0.2777778,1.01592262062854,0.309666235980495,1.22529637282899,0.220463574541698,0,0
1042,39.3666,-4.54641,0.28,0.375,0.336693025836424,0.736348321306959,0.870021598354799,0.384288601057958,0,0
1043,39.3082,-4.52566,0.2156863,0.4615385,0.877045071489984,0.380462157637063,1.02697048887,0.304434360440003,0,0
1044,39.33937,-4.63583,0.3939394,0.375,0.617757375011169,0.536735284991532,0.240734246738636,0.809761094334696,0,0
1045,39.3494,-4.60205,0.2727273,0.3571429,1.01592262062854,0.309666235980495,1.22529637282899,0.220463574541698,0,0
1046,39.337,-4.50029,0.1923077,0.2857143,-0.600318703099515,0.548293856382602,-0.78409378705866,0.432985080732285,0,0
1047,39.3113,-4.44718,0.0192308,0.5789474,-2.36912649711045,0.0178301540128791,-0.935716839207802,0.3494189982466,-1,0
